2026-01-28 06:12:59 | main | INFO | Agent başlatılıyor...
2026-01-28 06:16:49 | llm_client | INFO | LLM yanıtı (161 karakter)
2026-01-28 06:16:49 | llm_client | INFO | LLM düşüncesi: Kullanıcı YouTube sitesine gitmek istiyor...
2026-01-28 06:16:49 | agent | INFO | Tool çalıştırılıyor: open_url - Params: {'url': 'https://youtube.com'}
2026-01-28 06:16:49 | task_executor | INFO | Executing tool with params: {'url': 'https://youtube.com'}
2026-01-28 06:17:16 | telegram | INFO | [8433815573] Osman Emre: Sistem durumu...
2026-01-28 06:17:16 | agent | INFO | İşleniyor: Sistem durumu...
2026-01-28 06:17:16 | llm_client | INFO | LLM'e gönderiliyor: Sistem durumu...
2026-01-28 06:17:21 | llm_client | INFO | LLM yanıtı (157 karakter)
2026-01-28 06:17:21 | llm_client | INFO | LLM düşüncesi: Kullanıcı sistem bilgisi istiyor...
2026-01-28 06:17:21 | agent | INFO | Tool çalıştırılıyor: get_system_info - Params: {}
2026-01-28 06:17:21 | task_executor | INFO | Executing tool with params: {}
2026-01-28 06:17:35 | telegram | INFO | [8433815573] Osman Emre: Türkiyenin başkenti neresi...
2026-01-28 06:17:36 | agent | INFO | İşleniyor: Türkiyenin başkenti neresi...
2026-01-28 06:17:36 | llm_client | INFO | LLM'e gönderiliyor: Türkiyenin başkenti neresi...
2026-01-28 06:17:40 | llm_client | INFO | LLM yanıtı (135 karakter)
2026-01-28 06:17:40 | llm_client | INFO | LLM düşüncesi: Kullanıcı Türkiye'nin başkentini soruyor...
2026-01-28 06:18:14 | telegram | INFO | [8433815573] Osman Emre: 33-816...
2026-01-28 06:18:14 | agent | INFO | İşleniyor: 33-816...
2026-01-28 06:18:14 | llm_client | INFO | LLM'e gönderiliyor: 33-816...
2026-01-28 06:18:20 | llm_client | INFO | LLM yanıtı (396 karakter)
2026-01-28 06:18:20 | llm_client | INFO | LLM düşüncesi: The user is asking for a phone number, but I am a computer assistant designed to help control a Mac ...
2026-01-28 06:18:30 | telegram | INFO | [8433815573] Osman Emre: 3-2 yi hesapla...
2026-01-28 06:18:30 | agent | INFO | İşleniyor: 3-2 yi hesapla...
2026-01-28 06:18:30 | llm_client | INFO | LLM'e gönderiliyor: 3-2 yi hesapla...
2026-01-28 06:18:37 | llm_client | INFO | LLM yanıtı (225 karakter)
2026-01-28 06:21:09 | telegram | INFO | [8433815573] Osman Emre: Selam...
2026-01-28 06:21:09 | agent | INFO | İşleniyor: Selam...
2026-01-28 06:21:09 | llm_client | INFO | LLM'e gönderiliyor: Selam...
2026-01-28 06:21:16 | llm_client | INFO | LLM yanıtı (238 karakter)
2026-01-28 06:21:16 | llm_client | INFO | LLM düşüncesi: Kullanıcı selamlaşıyor, tool gerekmiyor...
