2026-02-04 11:23:06 | memory | INFO | Memory database initialized at /Users/emrekoca/.config/cdacs-bot/memory.db
2026-02-04 11:25:27 | task_executor | INFO | Executing set_brightness with params: {'level': 30, 'tool': 'set_brightness', 'params': {'install_dependencies': True}}
2026-02-04 11:25:27 | task_executor | ERROR | Task set_brightness execution error: set_brightness() got an unexpected keyword argument 'tool'
2026-02-04 11:25:39 | agent_loop | INFO | Plan adaptation suggested: Try using the 'brightness' tool instead of 'set_brightness'. This should fix the issue.
2026-02-04 11:25:52 | telegram | INFO | [8433815573] Osman Emre: yapay zeka hakkında araştırma yap...
2026-02-04 11:25:53 | agent | INFO | İşleniyor: yapay zeka hakkında araştırma yap...
2026-02-04 11:25:53 | agent_loop | INFO | Processing input: yapay zeka hakkında araştırma yap
2026-02-04 11:25:53 | agent_loop | INFO | Executing step step_1: yapay zeka hakkında araştırma yap
2026-02-04 11:25:53 | task_executor | INFO | Executing start_research with params: {'topic': 'yapay zeka', 'depth': 'basic'}
2026-02-04 11:25:53 | web.research | INFO | Started research task: research_20260204_112553 - yapay zeka
2026-02-04 11:25:53 | task_executor | INFO | Task start_research completed in 0.00s
2026-02-04 11:25:54 | web.search | INFO | Search 'yapay zeka': found 2 results
2026-02-04 11:25:54 | web.research | INFO | Research completed: research_20260204_112553
2026-02-04 16:20:31 | telegram | INFO | [8433815573] Osman Emre: photobooth aç...
2026-02-04 16:20:33 | agent | INFO | İşleniyor: photobooth aç...
2026-02-04 16:20:33 | agent_loop | INFO | Processing input: photobooth aç
2026-02-04 16:20:49 | agent_loop | INFO | LLM plan raw: [
  {"step":1,"tool":"open_app","params":{"app_name":"Safari"},"desc":"Safari uygulamasını aç"},
  {"step":2,"tool":"web_search","params":{"query":"photobooth"},"desc":"Photobooth ile ilgili web araması yap"}
]
2026-02-04 16:20:49 | agent_loop | INFO | Executing step step_1: Safari uygulamasını aç
2026-02-04 16:20:49 | task_executor | INFO | Executing open_app with params: {'app_name': 'Safari'}
2026-02-04 16:20:50 | task_executor | INFO | Task open_app completed in 0.15s
2026-02-04 16:20:50 | agent_loop | INFO | Executing step step_2: Photobooth ile ilgili web araması yap
2026-02-04 16:20:50 | task_executor | INFO | Executing web_search with params: {'query': 'photobooth'}
2026-02-04 16:20:51 | web.search | INFO | Search 'photobooth': found 5 results
2026-02-04 16:20:51 | task_executor | INFO | Task web_search completed in 1.28s
2026-02-04 16:55:57 | telegram | INFO | [8433815573] Osman Emre: selam...
2026-02-04 16:55:57 | agent | INFO | İşleniyor: selam...
2026-02-04 16:55:57 | agent_loop | INFO | Processing input: selam
2026-02-04 16:56:24 | telegram | INFO | [8433815573] Osman Emre: yapay zeka hakkında araştırma yap...
2026-02-04 16:56:24 | agent | INFO | İşleniyor: yapay zeka hakkında araştırma yap...
2026-02-04 16:56:24 | agent_loop | INFO | Processing input: yapay zeka hakkında araştırma yap
2026-02-04 16:56:24 | agent_loop | INFO | Executing step step_1: yapay zeka hakkında araştırma yap
2026-02-04 16:56:24 | task_executor | INFO | Executing start_research with params: {'topic': 'yapay zeka', 'depth': 'basic'}
2026-02-04 16:56:24 | web.research | INFO | Started research task: research_20260204_165624 - yapay zeka
2026-02-04 16:56:25 | task_executor | INFO | Task start_research completed in 0.00s
2026-02-04 16:56:26 | web.search | INFO | Search 'yapay zeka': found 2 results
2026-02-04 16:56:26 | web.research | INFO | Research completed: research_20260204_165624
2026-02-04 18:02:26 | telegram | INFO | [8433815573] Osman Emre: selam...
2026-02-04 18:02:26 | agent | INFO | İşleniyor: selam...
2026-02-04 18:02:26 | agent_loop | INFO | Processing input: selam
2026-02-04 18:02:30 | telegram | INFO | [8433815573] Osman Emre: ekran görüntüsü...
2026-02-04 18:02:30 | agent | INFO | İşleniyor: ekran görüntüsü...
2026-02-04 18:02:30 | agent_loop | INFO | Processing input: ekran görüntüsü
2026-02-04 18:02:30 | agent_loop | INFO | Executing step step_1: ekran görüntüsü
2026-02-04 18:02:30 | task_executor | INFO | Executing take_screenshot with params: {'filename': None}
2026-02-04 18:02:30 | task_executor | INFO | Task take_screenshot completed in 0.23s
2026-02-04 18:02:57 | telegram | INFO | [8433815573] Osman Emre: yapay zeka hakkinda arastirma yap...
2026-02-04 18:02:58 | agent | INFO | İşleniyor: yapay zeka hakkinda arastirma yap...
2026-02-04 18:02:58 | agent_loop | INFO | Processing input: yapay zeka hakkinda arastirma yap
2026-02-04 18:02:58 | agent_loop | INFO | Executing step step_1: yapay zeka hakkinda arastirma yap
2026-02-04 18:02:58 | task_executor | INFO | Executing start_research with params: {'topic': 'yapay zeka', 'depth': 'basic'}
2026-02-04 18:02:58 | web.research | INFO | Started research task: research_20260204_180258 - yapay zeka
2026-02-04 18:02:58 | task_executor | INFO | Task start_research completed in 0.00s
2026-02-04 18:11:07 | telegram | INFO | [8433815573] Osman Emre: yapay zeka hakkinda arastirma yap...
2026-02-04 18:11:07 | agent | INFO | İşleniyor: yapay zeka hakkinda arastirma yap...
2026-02-04 18:11:07 | agent_loop | INFO | Processing input: yapay zeka hakkinda arastirma yap
2026-02-04 18:11:07 | agent_loop | INFO | Executing step step_1: yapay zeka hakkinda arastirma yap
2026-02-04 18:11:07 | task_executor | INFO | Executing start_research with params: {'topic': 'yapay zeka', 'depth': 'basic'}
2026-02-04 18:11:07 | web.research | INFO | Started research task: research_20260204_181107 - yapay zeka
2026-02-04 18:11:07 | task_executor | INFO | Task start_research completed in 0.00s
FO | Search 'python programming': found 5 results
2026-02-04 12:49:48 | macos.appearance | INFO | Ekran parlaklığı 50% olarak ayarlandı
2026-02-04 12:50:33 | memory | INFO | Memory database initialized at /Users/emrekoca/.config/cdacs-bot/memory.db
2026-02-04 12:50:33 | agent | INFO | Agent başlatılıyor...
2026-02-04 12:50:33 | llm | INFO | Model llama3.1:8b hazır
2026-02-04 12:50:33 | agent | INFO | LLM hazır
2026-02-04 12:50:33 | agent | INFO | Reasoning engine hazır
2026-02-04 12:50:33 | agent | INFO | Autonomous planner hazır
2026-02-04 12:50:33 | agent | INFO | Plan executor hazır
2026-02-04 12:50:33 | security.audit | INFO | Audit database initialized at /Users/emrekoca/.config/cdacs-bot/audit.db
2026-02-04 12:50:33 | agent | INFO | Agent loop hazır
2026-02-04 12:50:33 | agent | INFO | ✅ Agent hazır - Autonomous mode active
2026-02-04 12:50:33 | agent | INFO | İşleniyor: selam...
2026-02-04 12:50:33 | agent_loop | INFO | Processing input: selam
2026-02-04 12:50:33 | agent | INFO | İşleniyor: masaüstünde ne var...
2026-02-04 12:50:33 | agent_loop | INFO | Processing input: masaüstünde ne var
2026-02-04 12:50:33 | agent_loop | INFO | Executing step step_1: masaüstünde ne var
2026-02-04 12:50:33 | task_executor | INFO | Executing list_files with params: {'path': '/Users/emrekoca/Desktop'}
2026-02-04 12:50:33 | task_executor | INFO | Task list_files completed in 0.00s
2026-02-04 12:50:33 | agent | INFO | İşleniyor: sistem bilgisi...
2026-02-04 12:50:33 | agent_loop | INFO | Processing input: sistem bilgisi
2026-02-04 12:50:33 | agent_loop | INFO | Fast path triggered
2026-02-04 12:50:33 | agent_loop | INFO | Executing step fast_step_1: Hızlı Geçiş: sistem bilgisi
2026-02-04 12:50:33 | task_executor | INFO | Executing get_system_info with params: {}
2026-02-04 12:50:34 | task_executor | INFO | Task get_system_info completed in 0.51s
2026-02-04 12:50:34 | agent | INFO | İşleniyor: ss al...
2026-02-04 12:50:34 | agent_loop | INFO | Processing input: ss al
2026-02-04 12:50:34 | agent_loop | INFO | Fast path triggered
2026-02-04 12:50:34 | agent_loop | INFO | Executing step fast_step_1: Hızlı Geçiş: ss al
2026-02-04 12:50:34 | task_executor | INFO | Executing take_screenshot with params: {}
2026-02-04 12:50:34 | task_executor | INFO | Task take_screenshot completed in 0.20s
2026-02-04 12:50:34 | agent | INFO | İşleniyor: wifi durumu...
2026-02-04 12:50:34 | agent_loop | INFO | Processing input: wifi durumu
2026-02-04 12:50:34 | agent_loop | INFO | Fast path triggered
2026-02-04 12:50:34 | agent_loop | INFO | Executing step fast_step_1: Hızlı Geçiş: wifi durumu
2026-02-04 12:50:34 | task_executor | INFO | Executing wifi_status with params: {}
2026-02-04 12:50:34 | macos.network | INFO | WiFi status: on=True, connected=False, network=None
2026-02-04 12:50:34 | task_executor | INFO | Task wifi_status completed in 0.05s
2026-02-04 12:50:34 | agent | INFO | İşleniyor: dark mode...
2026-02-04 12:50:34 | agent_loop | INFO | Processing input: dark mode
2026-02-04 12:50:34 | agent_loop | INFO | Fast path triggered
2026-02-04 12:50:34 | agent_loop | INFO | Executing step fast_step_1: Hızlı Geçiş: dark mode
2026-02-04 12:50:34 | task_executor | INFO | Executing toggle_dark_mode with params: {}
2026-02-04 12:50:34 | macos.appearance | INFO | Dark mode toggled: karanlık
2026-02-04 12:50:34 | task_executor | INFO | Task toggle_dark_mode completed in 0.29s
2026-02-04 12:50:34 | agent | INFO | İşleniyor: parlaklık...
2026-02-04 12:50:34 | agent_loop | INFO | Processing input: parlaklık
2026-02-04 12:50:34 | agent_loop | INFO | Fast path triggered
2026-02-04 12:50:34 | agent_loop | INFO | Executing step fast_step_1: Hızlı Geçiş: parlaklık
2026-02-04 12:50:34 | task_executor | INFO | Executing get_brightness with params: {}
2026-02-04 12:50:34 | task_executor | INFO | Task get_brightness completed in 0.06s
2026-02-04 12:50:34 | agent | INFO | İşleniyor: sesi kapat...
2026-02-04 12:50:34 | agent_loop | INFO | Processing input: sesi kapat
2026-02-04 12:50:34 | agent_loop | INFO | Fast path triggered
2026-02-04 12:50:34 | agent_loop | INFO | Executing step fast_step_1: Hızlı Geçiş: sesi kapat
2026-02-04 12:50:34 | task_executor | INFO | Executing set_volume with params: {'mute': True}
2026-02-04 12:50:35 | task_executor | INFO | Task set_volume completed in 0.19s
2026-02-04 12:50:35 | agent | INFO | İşleniyor: notlarım...
2026-02-04 12:50:35 | agent_loop | INFO | Processing input: notlarım
2026-02-04 12:50:35 | agent_loop | INFO | Executing step step_1: notlarım
2026-02-04 12:50:35 | task_executor | INFO | Executing list_notes with params: {'category': None}
2026-02-04 12:50:35 | task_executor | INFO | Task list_notes completed in 0.00s
2026-02-04 12:51:27 | memory | INFO | Memory database initialized at /Users/emrekoca/.config/cdacs-bot/memory.db
2026-02-04 12:51:27 | agent | INFO | Agent başlatılıyor...
2026-02-04 12:51:27 | llm | INFO | Model llama3.1:8b hazır
2026-02-04 12:51:27 | agent | INFO | LLM hazır
2026-02-04 12:51:27 | agent | INFO | Reasoning engine hazır
2026-02-04 12:51:27 | agent | INFO | Autonomous planner hazır
2026-02-04 12:51:27 | agent | INFO | Plan executor hazır
2026-02-04 12:51:27 | security.audit | INFO | Audit database initialized at /Users/emrekoca/.config/cdacs-bot/audit.db
2026-02-04 12:51:27 | agent | INFO | Agent loop hazır
2026-02-04 12:51:27 | agent | INFO | ✅ Agent hazır - Autonomous mode active
2026-02-04 12:51:27 | agent | INFO | İşleniyor: parlaklık...
2026-02-04 12:51:27 | agent_loop | INFO | Processing input: parlaklık
2026-02-04 12:51:27 | agent_loop | INFO | Fast path triggered
2026-02-04 12:51:27 | agent_loop | INFO | Executing step fast_step_1: Hızlı Geçiş: parlaklık
2026-02-04 12:51:27 | task_executor | INFO | Executing get_brightness with params: {}
2026-02-04 12:51:27 | task_executor | INFO | Task get_brightness completed in 0.04s
2026-02-04 12:51:27 | agent | INFO | İşleniyor: notlarım...
2026-02-04 12:51:27 | agent_loop | INFO | Processing input: notlarım
2026-02-04 12:51:27 | agent_loop | INFO | Executing step step_1: notlarım
2026-02-04 12:51:27 | task_executor | INFO | Executing list_notes with params: {'category': None}
2026-02-04 12:51:27 | task_executor | INFO | Task list_notes completed in 0.00s
2026-02-04 12:51:27 | agent | INFO | İşleniyor: bildir: toplantı başladı...
2026-02-04 12:51:27 | agent_loop | INFO | Processing input: bildir: toplantı başladı
2026-02-04 12:51:27 | agent_loop | INFO | Executing step step_1: bildir: toplantı başladı
2026-02-04 12:51:27 | task_executor | INFO | Executing send_notification with params: {'title': 'Bot Bildirimi', 'message': 'toplantı başladı'}
2026-02-04 12:51:27 | task_executor | INFO | Task send_notification completed in 0.09s
2026-02-04 12:51:37 | memory | INFO | Memory database initialized at /Users/emrekoca/.config/cdacs-bot/memory.db
2026-02-04 12:51:37 | agent | INFO | Agent başlatılıyor...
2026-02-04 12:51:37 | llm | INFO | Model llama3.1:8b hazır
2026-02-04 12:51:37 | agent | INFO | LLM hazır
2026-02-04 12:51:37 | agent | INFO | Reasoning engine hazır
2026-02-04 12:51:37 | agent | INFO | Autonomous planner hazır
2026-02-04 12:51:37 | agent | INFO | Plan executor hazır
2026-02-04 12:51:37 | security.audit | INFO | Audit database initialized at /Users/emrekoca/.config/cdacs-bot/audit.db
2026-02-04 12:51:37 | agent | INFO | Agent loop hazır
2026-02-04 12:51:37 | agent | INFO | ✅ Agent hazır - Autonomous mode active
2026-02-04 12:51:37 | agent | INFO | İşleniyor: Safari ac ve google.com a git...
2026-02-04 12:51:37 | agent_loop | INFO | Processing input: Safari ac ve google.com a git
2026-02-04 12:51:44 | agent_loop | INFO | LLM plan raw: [
  {"step":1,"tool":"open_app","params":{"app_name":"Safari"},"desc":"Safari uygulamasını aç"},
  {"step":2,"tool":"open_url","params":{"url":"https://www.google.com"},"desc":"Google.com web sayfasına git"}
]
2026-02-04 12:51:44 | agent_loop | INFO | Executing step step_1: Safari uygulamasını aç
2026-02-04 12:51:44 | task_executor | INFO | Executing open_app with params: {'app_name': 'Safari'}
2026-02-04 12:51:44 | task_executor | INFO | Task open_app completed in 0.07s
2026-02-04 12:51:44 | agent_loop | INFO | Executing step step_2: Google.com web sayfasına git
2026-02-04 12:51:44 | task_executor | INFO | Executing open_url with params: {'url': 'https://www.google.com'}
2026-02-04 12:51:44 | task_executor | INFO | Task open_url completed in 0.12s
2026-02-04 12:51:44 | agent | INFO | İşleniyor: test.txt olustur ve icine merhaba yaz...
2026-02-04 12:51:44 | agent_loop | INFO | Processing input: test.txt olustur ve icine merhaba yaz
2026-02-04 12:51:44 | agent | INFO | İşleniyor: python hakkinda arastirma yap...
2026-02-04 12:51:44 | agent_loop | INFO | Processing input: python hakkinda arastirma yap
2026-02-04 12:51:44 | agent_loop | INFO | Executing step step_1: python hakkinda arastirma yap
2026-02-04 12:51:44 | task_executor | INFO | Executing start_research with params: {'topic': 'python', 'depth': 'basic'}
2026-02-04 12:51:44 | web.research | INFO | Started research task: research_20260204_125144 - python
2026-02-04 12:51:44 | task_executor | INFO | Task start_research completed in 0.03s
2026-02-04 12:52:17 | memory | INFO | Memory database initialized at /Users/emrekoca/.config/cdacs-bot/memory.db
2026-02-04 12:52:17 | agent | INFO | Agent başlatılıyor...
2026-02-04 12:52:17 | llm | INFO | Model llama3.1:8b hazır
2026-02-04 12:52:17 | agent | INFO | LLM hazır
2026-02-04 12:52:17 | agent | INFO | Reasoning engine hazır
2026-02-04 12:52:17 | agent | INFO | Autonomous planner hazır
2026-02-04 12:52:17 | agent | INFO | Plan executor hazır
2026-02-04 12:52:17 | security.audit | INFO | Audit database initialized at /Users/emrekoca/.config/cdacs-bot/audit.db
2026-02-04 12:52:17 | agent | INFO | Agent loop hazır
2026-02-04 12:52:17 | agent | INFO | ✅ Agent hazır - Autonomous mode active
2026-02-04 12:52:17 | agent | INFO | İşleniyor: selam...
2026-02-04 12:52:17 | agent_loop | INFO | Processing input: selam
2026-02-04 12:52:18 | agent | INFO | İşleniyor: merhaba...
2026-02-04 12:52:18 | agent_loop | INFO | Processing input: merhaba
2026-02-04 12:52:18 | agent | INFO | İşleniyor: test.txt olustur ve icine merhaba yaz...
2026-02-04 12:52:18 | agent_loop | INFO | Processing input: test.txt olustur ve icine merhaba yaz
2026-02-04 12:52:23 | agent_loop | INFO | LLM plan raw: [
  {"step":1,"tool":"write_file","params":{"path":"/Users/Kullanıcı/Dosya/test.txt","content":"merhaba"},"desc":"dosya oluşturuluyor"},
  {"step":2,"tool":"open_app","params":{"app_name":"Notes"},"desc":"notlar uygulaması açılıyor"}
]
2026-02-04 12:52:23 | agent_loop | INFO | Executing step step_1: dosya oluşturuluyor
2026-02-04 12:52:23 | task_executor | INFO | Executing write_file with params: {'path': '/Users/Kullanıcı/Dosya/test.txt', 'content': 'merhaba'}
2026-02-04 12:52:23 | task_executor | INFO | Task write_file completed in 0.00s
2026-02-04 12:52:41 | agent_loop | INFO | Executing step step_1: dosya oluşturuluyor
2026-02-04 12:52:41 | task_executor | INFO | Executing write_file with params: {'path': '/Users/Kullanıcı/Dosya/test.txt', 'content': 'merhaba'}
2026-02-04 12:52:41 | task_executor | INFO | Task write_file completed in 0.00s
2026-02-04 12:52:43 | agent | INFO | İşleniyor: masaustunde ne var...
2026-02-04 12:52:43 | agent_loop | INFO | Processing input: masaustunde ne var
2026-02-04 12:52:43 | agent_loop | INFO | Executing step step_1: masaustunde ne var
2026-02-04 12:52:43 | task_executor | INFO | Executing list_files with params: {'path': '/Users/emrekoca/Desktop'}
2026-02-04 12:52:43 | task_executor | INFO | Task list_files completed in 0.00s
2026-02-04 12:53:39 | memory | INFO | Memory database initialized at /Users/emrekoca/.config/cdacs-bot/memory.db
2026-02-04 12:53:39 | agent | INFO | Agent başlatılıyor...
2026-02-04 12:53:39 | llm | INFO | Model llama3.1:8b hazır
2026-02-04 12:53:39 | agent | INFO | LLM hazır
2026-02-04 12:53:39 | agent | INFO | Reasoning engine hazır
2026-02-04 12:53:39 | agent | INFO | Autonomous planner hazır
2026-02-04 12:53:39 | agent | INFO | Plan executor hazır
2026-02-04 12:53:39 | security.audit | INFO | Audit database initialized at /Users/emrekoca/.config/cdacs-bot/audit.db
2026-02-04 12:53:39 | agent | INFO | Agent loop hazır
2026-02-04 12:53:39 | agent | INFO | ✅ Agent hazır - Autonomous mode active
2026-02-04 12:53:39 | agent | INFO | İşleniyor: test_bot.txt olustur ve icine merhaba yaz...
2026-02-04 12:53:39 | agent_loop | INFO | Processing input: test_bot.txt olustur ve icine merhaba yaz
2026-02-04 12:53:47 | agent_loop | INFO | LLM plan raw: [
  {"step":1,"tool":"write_file","params":{"path":"/Users/Kullanıcı/Dosya/Notlar/test_bot.txt","content":"Merhaba"},"desc":"Dosya oluşturuluyor"},
  {"step":2,"tool":"open_app","params":{"app_name":"Notes"},"desc":"Uygulama açılıyor"}
]
2026-02-04 12:53:47 | agent_loop | INFO | Executing step step_1: Dosya oluşturuluyor
2026-02-04 12:53:47 | smart_paths | WARNING | Path not found: /Users/Kullanıcı/Dosya/Notlar/test_bot.txt, suggestions: []
2026-02-04 12:53:47 | task_executor | INFO | Executing write_file with params: {'path': '/Users/emrekoca/Desktop/test_bot.txt', 'content': 'Merhaba'}
2026-02-04 12:53:47 | task_executor | INFO | Task write_file completed in 0.00s
2026-02-04 12:53:47 | agent_loop | INFO | Executing step step_2: Uygulama açılıyor
2026-02-04 12:53:47 | task_executor | INFO | Executing open_app with params: {'app_name': 'Notes'}
2026-02-04 12:53:47 | task_executor | INFO | Task open_app completed in 0.12s
2026-02-04 12:53:47 | agent | INFO | İşleniyor: test_bot.txt oku...
2026-02-04 12:53:47 | agent_loop | INFO | Processing input: test_bot.txt oku
2026-02-04 12:53:47 | agent_loop | INFO | Executing step step_1: test_bot.txt oku
2026-02-04 12:53:47 | smart_paths | INFO | Path found: /Users/emrekoca/Desktop/test_bot.txt
2026-02-04 12:53:47 | task_executor | INFO | Executing read_file with params: {'path': '/Users/emrekoca/Desktop/test_bot.txt'}
2026-02-04 12:53:47 | task_executor | INFO | Task read_file completed in 0.00s
2026-02-04 12:53:47 | agent | INFO | İşleniyor: test_bot.txt sil...
2026-02-04 12:53:47 | agent_loop | INFO | Processing input: test_bot.txt sil
2026-02-04 12:53:47 | agent_loop | INFO | Executing step step_1: test_bot.txt sil
2026-02-04 12:53:47 | agent_loop | WARNING | Risky operation detected: delete_file. Waiting for approval.
2026-02-04 12:53:47 | smart_paths | INFO | Path found: /Users/emrekoca/Desktop/test_bot.txt
2026-02-04 12:53:47 | task_executor | INFO | Executing delete_file with params: {'path': '/Users/emrekoca/Desktop/test_bot.txt', 'force': False}
2026-02-04 12:53:47 | task_executor | INFO | Task delete_file completed in 0.00s
2026-02-04 16:00:03 | memory | INFO | Memory database initialized at /Users/emrekoca/.config/cdacs-bot/memory.db
2026-02-04 16:00:03 | agent | INFO | Agent başlatılıyor...
2026-02-04 16:00:03 | llm | INFO | Model llama3.1:8b hazır
2026-02-04 16:00:03 | agent | INFO | LLM hazır
2026-02-04 16:00:03 | agent | INFO | Reasoning engine hazır
2026-02-04 16:00:03 | agent | INFO | Autonomous planner hazır
2026-02-04 16:00:03 | agent | INFO | Plan executor hazır
2026-02-04 16:00:03 | security.audit | INFO | Audit database initialized at /Users/emrekoca/.config/cdacs-bot/audit.db
2026-02-04 16:00:03 | agent | INFO | Agent loop hazır
2026-02-04 16:00:03 | agent | INFO | ✅ Agent hazır - Autonomous mode active
2026-02-04 16:00:03 | agent | INFO | İşleniyor: python hakkinda arastirma yap...
2026-02-04 16:00:03 | agent_loop | INFO | Processing input: python hakkinda arastirma yap
2026-02-04 16:00:03 | agent_loop | INFO | Executing step step_1: python hakkinda arastirma yap
2026-02-04 16:00:03 | task_executor | INFO | Executing start_research with params: {'topic': 'python', 'depth': 'basic'}
2026-02-04 16:00:03 | web.research | INFO | Started research task: research_20260204_160003 - python
2026-02-04 16:00:03 | task_executor | INFO | Task start_research completed in 0.00s
2026-02-04 16:00:04 | web.search | INFO | Search 'python': found 2 results
2026-02-04 16:00:04 | web.research | INFO | Research completed: research_20260204_160003
2026-02-04 16:00:11 | agent | INFO | İşleniyor: arastirma durumu...
2026-02-04 16:00:11 | agent_loop | INFO | Processing input: arastirma durumu
2026-02-04 16:00:11 | agent_loop | INFO | Executing step step_1: arastirma durumu
2026-02-04 16:00:11 | task_executor | INFO | Executing start_research with params: {'topic': 'durumu', 'depth': 'basic'}
2026-02-04 16:00:11 | web.research | INFO | Started research task: research_20260204_160011 - durumu
2026-02-04 16:00:11 | task_executor | INFO | Task start_research completed in 0.00s
2026-02-04 16:00:11 | agent | INFO | İşleniyor: word belgesi olustur...
2026-02-04 16:00:11 | agent_loop | INFO | Processing input: word belgesi olustur
2026-02-04 16:00:12 | web.search | INFO | Search 'durumu': found 2 results
2026-02-04 16:00:12 | web.research | INFO | Research completed: research_20260204_160011
2026-02-04 16:00:28 | agent_loop | INFO | LLM plan raw: [
  {"step":1,"tool":"open_app","params":{"app_name":"Notes"},"desc":"Uygulama aç"},
  {"step":2,"tool":"create_note","params":{"title":"","content":""},"desc":"Not oluştur"}
]
2026-02-04 16:00:28 | agent_loop | INFO | Executing step step_1: Uygulama aç
2026-02-04 16:00:28 | task_executor | INFO | Executing open_app with params: {'app_name': 'Notes'}
2026-02-04 16:00:28 | task_executor | INFO | Task open_app completed in 0.23s
2026-02-04 16:00:28 | agent_loop | INFO | Executing step step_2: Not oluştur
2026-02-04 16:00:28 | task_executor | INFO | Executing create_note with params: {'title': '', 'content': ''}
2026-02-04 16:00:28 | task_executor | INFO | Task create_note completed in 0.00s
2026-02-04 16:19:57 | memory | INFO | Memory database initialized at /Users/emrekoca/.config/cdacs-bot/memory.db
2026-02-04 16:19:57 | main | INFO | Agent başlatılıyor...
2026-02-04 16:19:57 | agent | INFO | Agent başlatılıyor...
2026-02-04 16:19:57 | llm | INFO | Model llama3.1:8b hazır
2026-02-04 16:19:57 | agent | INFO | LLM hazır
2026-02-04 16:19:57 | agent | INFO | Reasoning engine hazır
2026-02-04 16:19:57 | agent | INFO | Autonomous planner hazır
2026-02-04 16:19:57 | agent | INFO | Plan executor hazır
2026-02-04 16:19:57 | security.audit | INFO | Audit database initialized at /Users/emrekoca/.config/cdacs-bot/audit.db
2026-02-04 16:19:57 | agent | INFO | Agent loop hazır
2026-02-04 16:19:57 | agent | INFO | ✅ Agent hazır - Autonomous mode active
2026-02-04 16:19:57 | main | INFO | Telegram uygulaması oluşturuluyor...
2026-02-04 16:19:57 | telegram | INFO | Handler'lar kaydedildi ve approval callback ayarlandi
2026-02-04 16:19:57 | main | INFO | ========================================
2026-02-04 16:19:57 | main | INFO | 🤖 Bot başlatıldı!
2026-02-04 16:19:57 | main | INFO | ========================================
2026-02-04 16:19:58 | telegram.ext.Application | INFO | Application started
2026-02-04 16:20:05 | telegram | INFO | [8433815573] Osman Emre: selam...
2026-02-04 16:20:06 | agent | INFO | İşleniyor: selam...
2026-02-04 16:20:06 | agent_loop | INFO | Processing input: selam
2026-02-04 16:20:12 | telegram | INFO | [8433815573] Osman Emre: masaüstünde ne var...
2026-02-04 16:20:12 | agent | INFO | İşleniyor: masaüstünde ne var...
2026-02-04 16:20:12 | agent_loop | INFO | Processing input: masaüstünde ne var
2026-02-04 16:20:12 | agent_loop | INFO | Executing step step_1: masaüstünde ne var (attempt 1/3)
2026-02-04 16:20:12 | smart_paths | INFO | Path found: /Users/emrekoca/Desktop
2026-02-04 16:20:12 | task_executor | INFO | Executing list_files with params: {'path': '/Users/emrekoca/Desktop'}
2026-02-04 16:20:12 | task_executor | INFO | Task list_files completed in 0.00s
2026-02-04 16:20:17 | telegram | INFO | [8433815573] Osman Emre: ekran görüntüsü al...
2026-02-04 16:20:17 | agent | INFO | İşleniyor: ekran görüntüsü al...
2026-02-04 16:20:17 | agent_loop | INFO | Processing input: ekran görüntüsü al
2026-02-04 16:20:17 | agent_loop | INFO | Fast path triggered
2026-02-04 16:20:17 | agent_loop | INFO | Executing step fast_step_1: Hızlı Geçiş: ekran görüntüsü al (attempt 1/3)
2026-02-04 16:20:17 | task_executor | INFO | Executing take_screenshot with params: {}
2026-02-04 16:20:18 | task_executor | INFO | Task take_screenshot completed in 0.39s
